,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
121711,0,0.300021806,74,1,0.295710121,2400.0,11,0,1,0,0.0
59437,0,0.0,67,0,0.003498251,2000.0,6,0,0,0,0.0
116508,0,0.003116843,46,2,0.418681913,12942.0,14,0,3,0,2.0
34413,0,0.9999999,33,0,0.830939829,5500.0,12,0,2,0,1.0
147041,0,0.003771321,26,0,0.231896935,2250.0,4,0,0,0,0.0
81717,0,0.017636813,69,0,0.018691589,3958.0,11,0,0,0,0.0
227,1,1.953488372,38,0,0.153500141,3556.0,5,0,0,0,2.0
23193,0,0.0,72,0,0.283648658,13900.0,10,0,2,0,0.0
67285,0,0.183431131,54,0,0.235874848,6583.0,9,0,1,0,0.0
822,0,0.178964154,56,0,0.552930754,6772.0,6,0,1,0,1.0
25883,0,0.015811512,58,0,7.0,,4,0,0,0,0.0
101069,0,0.167737773,75,1,1.009223674,1300.0,8,0,1,0,0.0
42211,0,1.156146179,43,0,1321.0,,5,0,1,0,0.0
82731,0,0.703877747,58,0,0.263838297,14000.0,11,0,0,0,3.0
74524,0,0.0,76,0,1.0,,2,0,0,0,
94269,1,0.752234316,47,0,0.443575419,2684.0,10,0,1,0,2.0
44275,0,0.025450801,74,0,0.31404848,7466.0,14,0,1,0,2.0
87325,0,0.010009462,86,1,0.000633312,9473.0,9,0,0,0,0.0
148331,1,0.137196324,47,1,0.724629499,7084.0,10,0,2,0,2.0
136765,0,0.0,22,0,0.012180268,820.0,2,0,0,0,0.0
120992,0,0.015212865,59,0,0.151041054,8500.0,9,0,1,0,0.0
19142,0,0.210299106,63,0,2805.0,,7,0,2,0,0.0
119190,0,0.242737738,45,0,0.304829871,7846.0,8,0,2,0,4.0
148181,0,0.0,56,0,1310.0,,6,0,1,0,5.0
128765,0,0.05676666,26,0,317.0,,7,0,0,0,0.0
93112,1,0.981517952,54,7,0.506766917,3324.0,10,0,1,0,1.0
116461,0,0.9999999,90,0,303.0,,0,0,0,0,0.0
127758,0,0.289939075,60,1,0.765489674,1500.0,16,0,0,0,0.0
74828,1,0.911941165,35,0,0.589483612,4240.0,7,0,1,0,1.0
142067,0,0.590277268,66,1,0.458756874,6000.0,9,0,1,0,0.0
118239,0,0.9999999,36,0,0.0,4975.0,0,0,0,0,0.0
90658,0,0.0,73,3,0.065993598,4060.0,13,0,1,0,0.0
64232,0,0.9999999,64,0,0.491131893,3100.0,5,0,3,0,0.0
144541,0,0.19679016,74,0,0.146829201,7300.0,3,0,1,0,0.0
99294,0,0.183477619,70,0,1.259474053,10000.0,14,0,9,0,0.0
80283,0,0.9999999,26,0,0.149023171,2200.0,3,0,0,0,0.0
147677,0,0.144988493,87,0,54.0,,1,0,0,0,0.0
65236,0,0.525810538,59,0,2867.0,,3,0,1,0,0.0
31896,0,0.0,24,0,0.0,0.0,1,0,0,0,0.0
77993,1,0.419186106,45,0,0.587948954,7600.0,13,0,1,0,2.0
73894,0,0.015282054,70,0,0.244503664,1500.0,6,0,0,0,0.0
90203,1,0.9999999,24,1,0.036654449,3000.0,4,2,0,0,0.0
81654,0,0.03053654,78,0,0.011358473,2200.0,5,0,0,0,0.0
89436,0,0.025294801,61,0,0.359261142,5900.0,11,0,1,0,0.0
126742,0,0.673069936,59,1,0.436351706,7619.0,10,0,2,0,0.0
6096,0,0.163968692,55,0,0.250188395,27866.0,24,0,1,0,3.0
110242,0,0.033728464,50,0,1.281874795,3050.0,12,0,3,0,0.0
77183,0,0.05107604,66,1,1960.0,,11,0,1,0,0.0
129825,0,0.063358284,62,0,0.206410411,8298.0,12,0,1,0,1.0
65731,0,0.0,51,0,0.319278418,4600.0,9,0,3,0,2.0
49333,1,0.157338874,58,2,1626.0,,10,0,1,0,0.0
3223,0,0.9999999,45,0,0.20607243,8200.0,3,0,1,0,0.0
90707,0,0.41093712,33,0,0.199829206,8196.0,11,0,0,0,4.0
57556,0,0.022162973,42,0,1184.0,,6,0,1,0,0.0
23018,0,0.18168532,63,0,0.347896816,4302.0,6,0,1,0,0.0
29385,0,0.012590422,53,0,0.23272403,11214.0,7,0,2,0,0.0
57061,0,0.32443242,65,0,0.04671916,1904.0,2,1,0,0,0.0
39589,1,0.115114261,72,0,0.01995184,5813.0,6,0,0,0,0.0
98822,0,0.510731857,57,0,0.422766179,12500.0,14,0,4,0,3.0
38759,0,0.188514357,51,0,0.704329461,946.0,4,0,1,0,0.0
137636,1,0.586044688,44,0,0.64929546,4470.0,7,0,2,0,0.0
145040,0,0.802433131,39,1,0.071982004,4000.0,7,0,0,1,0.0
51324,0,0.032348383,88,0,19.0,,3,0,0,0,
115810,1,0.9999999,56,0,0.058659556,8250.0,2,2,0,1,0.0
12388,0,0.9999999,44,1,0.410317936,5000.0,10,0,2,0,0.0
20333,0,0.374843768,36,0,0.213478612,2477.0,6,0,0,0,0.0
115707,1,0.756243756,66,1,0.414383562,2627.0,7,0,1,1,2.0
118151,0,0.423540356,62,0,0.829973602,8333.0,14,0,5,0,1.0
42961,0,0.00897972,59,0,2525.0,,19,0,2,0,0.0
73032,0,0.02847221,58,0,0.03869598,14600.0,4,0,0,0,1.0
81821,1,0.811035406,37,0,0.366663155,9490.0,9,0,2,0,2.0
75117,0,0.0667385,49,1,0.309584727,10161.0,14,0,2,0,0.0
52002,0,0.647466112,46,0,0.559880936,21500.0,19,0,13,0,0.0
122230,0,0.994066864,51,0,0.898138833,3975.0,11,0,2,0,0.0
77941,0,0.04312856,68,0,2713.0,,11,0,2,0,0.0
54601,0,0.039277478,48,0,0.213271303,8167.0,7,0,2,0,2.0
120535,0,0.210669423,47,0,0.265341832,8000.0,11,0,1,0,2.0
124026,0,0.635157244,47,0,0.6251786,6298.0,5,0,2,0,1.0
25145,0,0.624497481,44,0,0.806008902,8087.0,10,0,2,0,2.0
18634,0,1.671105193,52,3,0.513250883,4527.0,8,3,2,1,4.0
804,0,0.067400749,26,0,0.166517857,4479.0,10,0,0,0,0.0
116160,0,0.02392504,86,0,0.013473054,1335.0,3,0,0,0,0.0
99590,0,0.651573359,64,0,0.577915377,5813.0,10,0,1,0,0.0
5331,0,0.001595711,76,0,2.0,,2,0,0,0,0.0
65482,0,0.201521066,35,0,0.459588848,3550.0,8,0,1,0,2.0
32811,0,0.007753608,50,0,4313.0,,8,0,3,0,0.0
140869,1,1.164261931,56,1,0.141653502,3797.0,6,3,0,2,1.0
144083,0,0.68224553,55,0,0.398306082,8500.0,12,0,3,0,1.0
107922,0,0.518358531,31,0,0.140613847,1400.0,4,0,0,0,2.0
86746,0,0.165361903,48,0,0.485075392,9748.0,11,0,3,0,0.0
54707,0,0.060461263,61,0,0.241101617,16266.0,9,0,2,0,1.0
41494,0,0.558295436,47,2,0.65526971,6024.0,15,0,2,0,2.0
29973,0,0.021848992,77,0,30.0,,5,0,0,0,0.0
23948,0,0.030848458,68,0,0.065607451,7300.0,5,0,0,0,1.0
76137,0,0.080629154,50,1,0.036101083,2215.0,8,0,0,0,0.0
37683,0,0.007088508,56,0,0.004241139,3300.0,9,0,0,0,0.0
42062,0,0.191907772,53,0,0.348496086,12134.0,12,0,1,0,2.0
80669,0,0.025386482,45,0,0.498228774,8750.0,8,0,1,0,0.0
35276,0,0.66548727,59,0,1993.0,,11,0,0,0,0.0
23279,0,0.953139552,69,0,0.510677809,14000.0,10,0,2,0,0.0
123501,0,0.0,85,0,7.0,,5,0,0,0,0.0
98712,0,0.982035928,30,0,0.250262881,950.0,2,0,0,0,0.0
61475,0,0.044879835,70,0,6192.0,,13,0,5,0,0.0
131619,0,0.068096122,62,0,4162.0,,6,0,1,0,0.0
118032,0,0.075096179,50,0,0.593629482,7000.0,15,0,2,0,0.0
125503,0,0.9999999,24,1,0.111056269,2025.0,0,0,0,0,0.0
14962,0,0.351833174,33,0,0.117302335,10408.0,12,0,0,0,0.0
55643,0,0.0,60,0,0.0,,1,0,0,0,0.0
2063,0,0.163400642,63,0,279.0,,3,0,0,0,0.0
75274,1,0.9999999,51,0,0.0,,1,0,0,0,5.0
54407,0,0.001722127,65,0,0.002586207,2319.0,3,0,0,0,0.0
19698,0,0.202718081,48,0,0.641600417,7672.0,13,0,2,0,2.0
91084,0,0.150184624,39,0,1.200381679,1047.0,25,0,0,0,0.0
18796,0,0.0,52,0,0.351901446,5600.0,4,0,1,0,0.0
99541,0,0.408157007,54,0,0.393989983,9583.0,15,0,1,0,0.0
2496,1,0.451376082,48,0,2.51196093,12080.0,29,0,17,0,2.0
44648,0,0.0,41,0,1886.0,,4,0,1,0,0.0
83627,0,0.9999999,22,0,0.0,820.0,1,0,0,0,0.0
82908,0,0.81278309,43,0,0.176405243,4500.0,7,0,0,0,3.0
68438,0,0.718232516,48,0,0.648038246,6065.0,14,0,2,0,2.0
10899,0,0.818491942,33,0,0.322220499,6448.0,4,0,1,0,0.0
24394,0,0.441581417,68,0,0.18251928,3500.0,6,0,1,0,0.0
113992,0,0.12767785,63,0,0.16272377,20500.0,13,0,2,0,0.0
57580,0,0.008437236,82,0,0.002710945,2950.0,2,0,0,0,0.0
31259,0,0.894165252,57,1,1.0665,3999.0,8,0,1,0,0.0
116769,0,0.087449246,57,0,0.91552112,4000.0,3,0,1,0,0.0
96935,0,0.693404592,43,0,0.222865777,3970.0,5,0,0,0,3.0
136820,0,0.125645726,51,0,0.283097419,1200.0,3,0,0,0,0.0
105878,0,0.289311281,54,0,0.137577556,3706.0,7,0,0,0,2.0
41484,0,0.029751814,81,0,0.319148936,140.0,8,0,0,0,0.0
89559,0,0.0,84,0,0.0,,2,0,0,0,
28275,0,0.766973553,43,1,1.36709737,4333.0,21,0,1,0,0.0
66947,0,0.03959496,80,0,58.0,,8,0,0,0,0.0
113530,0,0.105059556,45,0,0.320139697,7730.0,18,0,1,0,2.0
29354,0,0.039191284,61,0,0.172273409,14000.0,13,0,0,0,1.0
129659,0,0.010999421,37,0,0.286883011,11000.0,10,0,2,0,2.0
86578,0,0.063114951,58,1,0.231204819,8299.0,7,0,2,0,2.0
88631,0,0.907443702,49,0,0.197609638,21000.0,12,1,3,0,1.0
66286,0,0.170189595,45,1,803.0,,7,0,0,1,0.0
29532,0,0.072947539,57,0,0.157032664,10500.0,16,0,1,0,0.0
49688,1,0.238109733,53,4,0.492245448,4448.0,11,0,2,0,0.0
57864,0,0.221641831,45,0,0.504238823,13800.0,14,0,6,0,0.0
3712,1,0.9999999,28,0,0.444334488,2020.0,3,1,0,0,0.0
95896,0,0.003948092,53,0,0.362870025,5100.0,11,0,1,0,4.0
121039,0,0.022032599,67,0,611.0,,7,0,1,0,0.0
30634,0,0.955679098,56,1,0.155869059,7300.0,8,0,0,0,0.0
49329,0,0.202876812,58,0,0.348975972,6200.0,10,0,1,0,1.0
138026,0,0.416525107,47,0,0.269002912,9958.0,10,0,1,0,2.0
86631,0,0.573172753,54,0,0.49323181,5909.0,12,0,2,0,1.0
68197,0,0.0,62,1,0.122406466,12000.0,10,1,2,0,3.0
98533,0,0.182521384,39,0,0.652948801,6171.0,13,0,3,0,0.0
87977,0,0.039096506,42,2,3541.0,,11,0,2,0,0.0
135760,0,0.9999999,65,0,76.0,,1,0,0,0,0.0
110591,0,0.9999999,22,0,1.0,,1,0,0,0,
143509,0,0.9999999,60,0,1246.0,,4,0,1,0,0.0
140882,0,0.24186919,33,0,0.195393169,5035.0,6,0,0,0,2.0
138303,0,0.063846808,66,0,0.298485298,10100.0,7,0,1,0,0.0
132911,0,0.743965805,35,0,1.56097561,2500.0,6,0,1,0,0.0
58641,0,0.369521359,37,0,0.181925113,5100.0,15,0,0,0,0.0
80492,0,0.271130202,72,0,0.210507181,5500.0,11,0,0,0,1.0
135951,0,1.024828057,64,5,0.591040896,10000.0,9,2,2,2,0.0
36676,0,0.047163053,70,2,0.413690646,17500.0,16,0,4,0,0.0
74670,0,0.000521694,57,0,0.360882573,5347.0,8,0,2,0,0.0
7025,0,0.68794348,64,0,0.315821775,16293.0,14,0,1,0,1.0
9657,1,0.9999999,47,0,27.0,,0,1,0,0,0.0
117428,0,0.030190269,53,0,0.208223342,12500.0,16,0,1,0,0.0
67812,0,0.716283716,46,0,0.389372947,7000.0,9,0,2,0,0.0
37535,0,0.465533404,51,1,2525.0,,10,1,2,0,0.0
105035,0,0.071430898,39,0,2146.0,,5,0,1,0,
99834,0,0.383233533,51,0,0.000333311,15000.0,2,0,0,0,1.0
135444,0,0.066798785,47,0,0.009102946,12083.0,10,0,0,0,0.0
21272,0,0.037952543,46,0,0.820436875,2700.0,9,0,1,0,1.0
133127,0,0.371738581,66,0,0.169798506,13250.0,6,0,0,0,0.0
46505,0,0.032539411,40,0,0.534032753,11723.0,18,0,2,0,4.0
112040,0,0.013794636,55,0,1742.0,,8,0,1,0,0.0
118338,1,1.03986711,38,4,0.101004464,14335.0,5,2,0,1,3.0
50958,0,0.371764347,64,0,0.121153097,7700.0,4,0,0,0,3.0
41409,0,0.094545273,75,0,0.706798569,4750.0,5,0,1,0,0.0
99185,0,0.0,44,0,1703.0,,6,0,2,0,0.0
105625,0,0.250618842,76,0,0.510395137,8224.0,11,0,2,0,0.0
130563,0,0.9999999,25,0,475.0,,4,0,0,0,0.0
38453,0,0.003423876,74,0,807.0,,10,0,1,0,
72799,0,0.0,70,0,0.220702838,6800.0,6,0,1,0,1.0
83410,0,0.020972802,64,1,2518.0,,4,0,1,0,
11831,0,0.018174546,64,0,0.016786571,1250.0,6,0,0,0,0.0
99983,0,0.229683785,64,0,0.509830057,3000.0,13,0,1,0,0.0
119878,0,0.276178449,58,1,0.283339583,8000.0,10,0,2,0,2.0
132046,0,0.338023996,57,0,2037.0,,8,0,2,0,0.0
112554,0,0.270086496,61,0,0.396257567,5450.0,7,1,1,0,0.0
75844,0,0.096112098,51,1,0.421094732,8750.0,12,0,1,0,0.0
140220,0,0.000153838,37,3,0.440007868,5083.0,10,0,1,0,0.0
17767,0,0.0,49,0,0.075395217,7400.0,7,0,0,0,1.0
144499,0,0.04429557,43,0,0.194878092,5700.0,5,0,1,0,1.0
99179,0,0.050342584,79,0,56.0,0.0,4,0,0,0,1.0
112367,0,0.9999999,56,0,1.304903495,3833.0,7,0,2,0,0.0
116122,0,0.523915316,25,0,0.315944159,1360.0,6,0,0,0,0.0
55869,0,0.038022104,74,0,0.139440065,3678.0,16,0,1,0,0.0
43441,0,0.297909518,63,1,0.213638941,58200.0,15,0,5,0,4.0
80277,0,0.010228279,53,0,12.0,,4,0,0,0,0.0
121937,0,0.550944906,43,0,0.370037004,9998.0,3,0,1,0,2.0
43467,0,0.083118759,75,0,1381.0,,11,0,2,0,0.0
92015,0,0.303093938,43,0,0.313137373,3333.0,6,0,0,0,2.0
98023,0,1.002305919,28,0,0.22951068,6600.0,7,0,1,0,0.0
88365,0,0.9999999,61,0,541.0,,2,0,1,0,1.0
82415,0,0.022016222,50,0,0.347868009,9333.0,8,0,2,0,1.0
68889,0,0.581847272,42,0,0.777444511,3333.0,4,0,3,0,0.0
142503,0,0.0,48,0,0.0,,6,0,0,0,0.0
74309,0,0.012702812,70,0,0.286871313,10000.0,12,0,1,0,0.0
71010,0,0.202174864,39,0,3582.0,,9,0,1,0,0.0
3058,0,0.032092449,73,0,2448.0,,11,0,2,0,0.0
124027,0,0.0,26,0,0.0,1200.0,2,0,0,0,0.0
53309,0,0.012112392,57,0,0.449820072,2500.0,12,0,1,0,0.0
99297,0,0.193353859,58,0,1095.0,,12,0,1,0,0.0
30283,0,0.241429819,38,0,360.0,,5,0,0,0,0.0
32050,0,0.517219885,30,0,0.29895502,2200.0,6,0,0,0,0.0
37779,0,0.179920502,70,0,217.0,,3,0,0,0,0.0
42434,0,1.126455907,35,1,0.123256691,2652.0,4,0,0,0,0.0
53732,0,0.924785417,35,1,1.107707191,3100.0,13,0,1,0,2.0
79013,0,0.025864404,61,0,6352.0,,14,0,6,0,0.0
99518,0,0.065995507,65,0,0.325483226,4500.0,7,0,1,0,1.0
126951,0,0.713293338,69,1,0.082367053,2500.0,6,0,0,0,0.0
16890,0,0.033351249,54,0,0.548290342,5000.0,8,0,1,0,0.0
86726,0,0.611717652,47,0,0.341309677,8566.0,6,0,1,0,3.0
96353,0,0.729333484,37,0,0.113322541,10500.0,6,0,0,0,0.0
104782,0,0.069412621,62,0,0.049992425,6600.0,8,0,1,0,2.0
133993,0,0.0,49,0,0.329218983,4698.0,7,0,1,0,0.0
57910,0,0.0,36,0,0.196007081,10167.0,3,0,1,0,3.0
82027,0,0.995466818,63,1,0.190060898,13300.0,7,0,1,0,1.0
50319,0,0.00222814,50,0,2594.0,,2,0,1,0,0.0
107403,0,0.007723157,58,0,0.593259069,3500.0,8,0,2,0,5.0
37185,0,0.62503039,82,1,0.122443982,8166.0,7,0,0,0,0.0
127036,0,0.569647678,63,0,4400.0,,5,0,2,0,0.0
91184,0,0.087157638,50,0,0.143109764,15833.0,10,0,1,0,2.0
99670,0,0.397304962,64,0,0.312403101,9029.0,10,0,2,0,0.0
55875,0,0.106980731,64,0,0.0794329,5148.0,3,0,0,0,0.0
80048,0,0.965190511,51,0,0.343739584,9000.0,8,0,1,0,0.0
97521,0,0.629847976,73,0,2630.0,,15,0,2,0,0.0
37033,0,0.9999999,26,0,0.16872428,1457.0,1,0,0,0,1.0
78810,0,0.263668914,70,0,0.419860047,3000.0,7,0,1,0,0.0
145539,0,0.720327967,74,0,0.187756916,9000.0,3,0,1,1,2.0
45215,0,0.028219584,69,0,0.148833765,2700.0,8,0,0,0,0.0
57928,0,0.200990429,43,0,0.273460796,5700.0,3,0,1,0,1.0
138988,0,0.115035973,62,0,0.345509088,11333.0,9,0,3,0,1.0
98999,1,0.9999999,28,0,0.254477301,2400.0,6,0,0,0,0.0
70691,0,0.017280766,79,0,0.252999657,5833.0,13,0,1,0,0.0
107884,1,0.004701008,66,0,0.000499917,6000.0,3,0,0,1,0.0
46238,1,1.063291139,52,1,0.140563466,3300.0,4,1,0,2,3.0
80799,0,0.0,58,0,0.25194961,5000.0,7,0,1,0,0.0
96346,0,1.49e-05,34,0,0.0,7000.0,2,0,0,0,0.0
33948,0,0.529894021,27,0,0.285102332,2100.0,5,0,0,0,0.0
6257,0,0.06614367,66,0,0.262818446,3100.0,7,0,1,0,0.0
145977,0,0.061481748,56,0,0.197985986,28400.0,7,0,2,0,2.0
15292,0,0.156388315,63,0,152.0,0.0,5,0,0,0,0.0
145752,0,0.016093683,75,0,0.804460681,5200.0,15,0,3,0,0.0
102730,0,0.861046318,34,1,0.056388722,5000.0,5,0,0,0,0.0
51374,0,0.0,35,0,0.0,3770.0,1,0,0,0,1.0
8092,0,0.041465733,82,0,0.236075297,23267.0,13,0,4,0,0.0
118077,0,0.020951906,50,0,0.485959503,12000.0,9,0,2,0,2.0
61936,0,0.012129216,64,0,119.0,,9,0,0,0,0.0
49401,0,0.169069722,68,0,0.248650562,11300.0,19,0,1,0,0.0
139169,0,0.026394721,35,0,0.573830077,2200.0,8,0,1,0,0.0
112643,0,0.9999999,40,0,123.0,,0,0,0,0,0.0
130538,0,0.031044749,57,1,372.0,,8,0,0,0,0.0
9359,0,0.03471244,60,0,0.075518456,7666.0,4,0,1,0,0.0
59283,0,0.073503131,48,0,0.190701001,6989.0,11,0,0,0,1.0
4336,0,0.013299668,77,0,0.011952191,1254.0,6,0,0,0,0.0
100984,0,0.0,65,0,0.026147015,2026.0,1,0,0,0,0.0
121792,0,0.604744633,30,0,0.119813364,6000.0,8,0,0,0,0.0
149984,0,0.002484811,82,0,0.00079984,5000.0,5,0,0,0,0.0
83553,0,0.0,21,0,0.0,820.0,2,0,0,0,0.0
77224,0,0.382410361,70,1,0.410763667,4700.0,14,0,0,0,0.0
138781,0,0.016515926,69,0,8.0,,8,0,0,0,0.0
137025,0,0.871935391,51,0,0.37860781,8834.0,14,0,2,0,0.0
42313,1,0.619557459,24,0,0.009024644,2880.0,1,0,0,0,0.0
92107,0,2.82e-05,66,1,147.0,,8,0,0,0,
2072,0,0.307692308,25,0,0.010463378,1337.0,2,0,0,1,0.0
41760,0,0.9999999,38,0,0.216030159,6100.0,6,0,0,0,2.0
23165,0,0.834853924,36,0,1.128122245,3402.0,6,0,2,0,0.0
68560,0,0.0,30,0,1.153692615,500.0,9,0,0,0,0.0
71052,0,0.207112425,48,0,0.233990813,3700.0,8,0,2,0,0.0
32456,0,0.9999999,48,0,0.0,,1,0,0,0,3.0
40843,0,0.100544384,65,0,27.0,,2,0,0,0,0.0
63583,0,0.068616889,58,0,0.046085859,1583.0,2,0,0,0,0.0
7038,0,0.101664407,46,0,0.352760359,8132.0,9,0,1,0,0.0
4273,0,0.9999999,62,0,0.0,3453.0,0,0,0,0,0.0
31244,0,0.420257131,45,1,346.0,,5,0,0,0,0.0
32355,0,0.566311441,35,1,0.520369593,2380.0,8,0,1,0,0.0
30469,0,0.136309811,45,0,0.439235725,4500.0,3,0,1,0,0.0
76242,0,0.0,50,0,0.542948168,8160.0,9,0,3,0,4.0
118937,0,0.215312827,61,0,0.227538623,20000.0,8,0,1,0,0.0
65405,0,0.361703951,38,0,0.330098658,6182.0,11,0,1,0,0.0
66586,0,0.0,50,0,1524.0,,9,0,1,0,3.0
5432,0,0.617351287,32,0,0.75173233,5050.0,13,0,1,0,2.0
140995,0,0.039252907,66,0,791.0,,3,0,1,0,0.0
52428,0,0.003263109,66,0,0.001525553,3932.0,4,0,0,0,0.0
134976,0,0.01462753,72,0,0.340392221,12135.0,12,0,3,0,1.0
96340,0,1.182828123,36,2,612.0,,12,1,0,3,0.0
64124,0,0.337330579,62,0,0.392321271,6797.0,16,0,1,0,0.0
14807,0,0.003185784,63,1,2042.0,,10,0,2,0,0.0
33821,1,0.024127851,69,0,0.423622413,4300.0,16,0,1,0,2.0
10629,0,0.023628754,30,0,0.008170676,2202.0,2,0,0,0,0.0
5242,0,0.13391297,49,0,0.08536434,24166.0,8,0,1,0,2.0
135302,0,0.817653495,57,0,0.358853317,11650.0,15,0,2,0,1.0
43053,1,0.142732024,48,0,0.390227082,20300.0,22,0,5,0,3.0
115170,0,0.040998536,62,0,0.117146532,10106.0,4,0,2,0,0.0
113591,0,0.036959627,57,0,0.322111859,15000.0,14,0,1,0,0.0
148709,0,0.375008503,28,0,0.159951713,6626.0,4,0,0,0,1.0
132364,0,0.793480828,34,0,0.259721727,2802.0,17,0,0,0,2.0
102591,0,0.009153142,50,0,0.296056315,12500.0,10,0,2,0,0.0
81379,0,0.021703717,63,0,0.327349788,4010.0,6,0,1,0,0.0
128012,0,0.530832729,29,0,0.219400162,3700.0,3,0,0,0,2.0
118435,0,0.117133014,49,0,0.120948234,6200.0,8,0,1,0,2.0
86607,0,0.050148746,66,0,937.0,,4,0,1,0,0.0
85379,0,0.035313451,67,0,29.0,0.0,3,0,0,0,0.0
97675,0,0.710578842,26,0,0.834355828,651.0,3,0,0,0,0.0
99992,0,0.185304078,63,0,0.311879568,9166.0,12,0,1,0,1.0
113830,0,0.349271897,33,0,0.341331734,3333.0,4,0,1,0,1.0
101215,0,0.764961784,36,0,0.302114456,8701.0,10,0,1,0,2.0
90727,0,0.051541751,63,0,0.395982143,2239.0,8,0,1,0,0.0
112284,0,0.98840232,30,1,0.193761248,5000.0,9,0,0,0,0.0
87163,1,1.192101414,48,2,0.941223511,2500.0,13,1,1,0,2.0
15984,0,0.528215557,35,0,0.33727712,6000.0,8,0,2,0,2.0
134201,1,0.9999999,57,0,0.36315921,4000.0,3,1,1,1,3.0
8907,0,0.169833037,53,1,0.713580247,4859.0,15,0,2,0,1.0
88052,0,0.135434958,60,0,0.266709332,25000.0,21,0,3,0,1.0
58364,0,1.043876701,71,0,0.413600892,7175.0,8,0,1,0,0.0
90504,0,0.174256685,47,0,0.26436048,7833.0,18,0,1,0,0.0
39730,0,0.036294616,65,0,0.007664112,3000.0,2,0,0,0,0.0
148556,0,0.041763122,78,0,0.04199664,4166.0,7,0,1,0,0.0
30155,0,0.016905022,55,0,1.509056839,1600.0,13,0,1,0,0.0
41135,1,0.573796369,36,0,0.322923173,1600.0,8,0,0,1,2.0
65404,0,0.001384142,71,1,0.291340707,3706.0,6,0,1,0,0.0
88749,0,0.229793538,54,1,0.056214866,1600.0,5,0,0,1,1.0
104484,0,0.212393803,48,0,0.116623473,2700.0,9,0,0,0,2.0
98196,0,0.000310334,46,0,0.215531608,9000.0,8,0,1,0,0.0
88639,0,0.0,72,0,0.332738308,2800.0,6,0,1,0,0.0
120552,0,0.782937074,54,0,0.374291745,9000.0,11,0,2,0,0.0
113005,0,0.478093066,42,0,0.210526316,2583.0,6,0,0,0,0.0
60872,0,0.9999999,48,0,0.276577874,8333.0,4,0,1,0,2.0
27146,0,0.016604697,59,0,0.104983849,4333.0,6,0,1,0,0.0
72178,0,0.334070131,64,0,8879.0,,33,0,3,0,1.0
42557,1,0.612903226,56,0,0.296330444,5422.0,9,0,0,1,0.0
11502,0,0.9999999,29,0,0.023809524,2099.0,1,2,0,1,0.0
126986,0,0.749097907,75,0,416.0,,6,0,0,1,0.0
101117,0,0.615093148,40,0,0.157894737,7200.0,6,0,0,0,3.0
5056,0,0.0,64,0,0.357479026,4886.0,5,0,1,0,0.0
98676,0,0.404343543,63,1,3636.0,,14,0,2,0,
45446,0,0.267408112,40,0,707.0,,7,0,0,0,3.0
47201,0,0.027054053,57,0,1795.0,,4,0,1,0,0.0
56538,0,0.609707754,46,0,0.116750786,10500.0,8,0,0,0,2.0
70974,0,0.035113282,56,0,0.458796968,6200.0,10,0,1,0,1.0
48419,0,0.107282649,48,0,0.348759719,2700.0,5,0,1,0,0.0
109649,0,0.51717738,63,0,0.984029484,2441.0,4,0,1,0,2.0
114990,0,0.547716107,41,0,1685.0,,15,0,1,0,0.0
145167,0,0.168883112,62,0,50.0,,2,0,0,0,0.0
12499,0,0.0,75,0,3396.0,,11,0,4,0,0.0
103644,0,0.784039266,60,0,0.16880367,8500.0,6,0,0,0,1.0
118574,0,0.822763573,42,0,0.254824875,5595.0,9,0,0,5,2.0
100590,0,0.620329493,28,0,0.198966408,5417.0,6,0,0,0,0.0
101575,0,0.876084957,42,0,0.107543606,9000.0,4,0,0,0,2.0
123629,0,0.186508226,61,0,0.3096382,10198.0,10,0,1,0,2.0
96958,0,0.051054384,32,0,435.0,,3,0,0,0,0.0
90019,0,0.9999999,62,0,0.0,7250.0,1,0,0,0,1.0
142945,0,0.070976488,61,1,0.245116992,15000.0,21,0,2,0,0.0
121407,0,0.008985909,50,0,0.2003367,10097.0,9,0,2,0,0.0
64535,0,0.292134831,28,1,0.200782269,2300.0,3,0,0,0,1.0
125562,0,0.00576061,62,0,24.0,0.0,12,0,0,0,0.0
119468,0,1.081329461,42,0,0.527288579,5734.0,13,0,1,0,1.0
67379,0,0.019298173,55,0,576.0,,4,0,1,0,0.0
52538,0,0.088628469,78,0,0.366589327,861.0,6,0,1,0,1.0
67555,0,0.625460437,61,0,0.349980754,20783.0,8,0,2,0,0.0
100674,0,0.272462408,64,0,3450.0,,13,0,2,0,1.0
147941,0,0.123077206,66,1,0.432984714,6214.0,33,0,1,0,0.0
92188,0,0.024450514,77,0,0.105418487,8470.0,14,0,1,0,0.0
143758,0,0.561199001,24,0,0.095619988,1620.0,3,0,0,0,0.0
46593,0,0.127138394,68,0,231.0,0.0,9,0,0,0,0.0
54409,0,0.050797097,34,0,0.411674347,7811.0,14,0,2,0,2.0
12582,0,0.017407523,68,0,0.170501181,8040.0,17,0,1,0,0.0
99006,0,0.81822652,30,0,710.0,,6,0,0,0,1.0
